ds,y
22/4/13,127.4
23/4/13,143.5
24/4/13,154.2
25/4/13,141.7
26/4/13,136.9
27/4/13,128
28/4/13,134.4
29/4/13,144
30/4/13,139.2
1/5/13,116.4
2/5/13,106.3
3/5/13,98.1
4/5/13,112.9
5/5/13,116
6/5/13,112.3
7/5/13,109.6
8/5/13,113.2
9/5/13,112.8
10/5/13,117.7
11/5/13,115.6
12/5/13,114.8
13/5/13,118
14/5/13,111.4
15/5/13,114.2
16/5/13,118.2
17/5/13,123.5
18/5/13,123.2
19/5/13,122.5
20/5/13,122
21/5/13,122.9
22/5/13,123.8
23/5/13,126.3
24/5/13,133.1
25/5/13,132
26/5/13,133.5
27/5/13,129.8
28/5/13,129
29/5/13,132.3
30/5/13,128.8
31/5/13,128.8
1/6/13,129.3
2/6/13,122.5
3/6/13,120.7
4/6/13,121.4
5/6/13,121.9
6/6/13,119
7/6/13,111
8/6/13,107.9
9/6/13,100.4
10/6/13,106.3
11/6/13,109
12/6/13,108.8
13/6/13,103.9
14/6/13,100
15/6/13,99.8
16/6/13,99.9
17/6/13,101.9
18/6/13,107.3
19/6/13,108.3
20/6/13,111.3
21/6/13,109.5
22/6/13,108.2
23/6/13,107.9
24/6/13,102.1
25/6/13,103.3
26/6/13,104
27/6/13,101.7
28/6/13,94.7
29/6/13,95
30/6/13,97.5
1/7/13,84.6
2/7/13,87.7
3/7/13,76.9
4/7/13,77.7
5/7/13,66.3
6/7/13,66.8
7/7/13,72.5
8/7/13,74.6
9/7/13,74.2
10/7/13,84.5
11/7/13,91.2
12/7/13,88.5
13/7/13,91.4
14/7/13,90.4
15/7/13,93.1
16/7/13,92.7
17/7/13,90.5
18/7/13,85.4
19/7/13,85.8
20/7/13,85.7
21/7/13,85.5
22/7/13,86.1
23/7/13,86.9
24/7/13,87.5
25/7/13,89.4
26/7/13,90.6
27/7/13,89.1
28/7/13,92.1
29/7/13,93.3
30/7/13,96.3
31/7/13,97.9
1/8/13,96.4
2/8/13,97.2
3/8/13,96.7
4/8/13,96.6
5/8/13,96.9
6/8/13,97.1
7/8/13,96.9
8/8/13,94.8
9/8/13,93.4
10/8/13,93.3
11/8/13,94.2
12/8/13,95.1
13/8/13,97.9
14/8/13,98
15/8/13,97.5
16/8/13,98.3
17/8/13,99.6
18/8/13,98.8
19/8/13,102.3
20/8/13,105
21/8/13,111.4
22/8/13,109.7
23/8/13,107.6
24/8/13,108.7
25/8/13,111.8
26/8/13,112.2
27/8/13,117.4
28/8/13,117.6
29/8/13,117.5
30/8/13,123.2
31/8/13,129.5
1/9/13,128.3
2/9/13,127.4
3/9/13,127.6
4/9/13,120.6
5/9/13,120.5
6/9/13,116.3
7/9/13,119.1
8/9/13,116.6
9/9/13,120
10/9/13,121.5
11/9/13,125.4
12/9/13,125.8
13/9/13,126.5
14/9/13,124.1
15/9/13,124.6
16/9/13,125.1
17/9/13,126
18/9/13,126.3
19/9/13,124.2
20/9/13,122.9
21/9/13,122.6
22/9/13,122.7
23/9/13,122.2
24/9/13,122.5
25/9/13,123.4
26/9/13,123.5
27/9/13,123.5
28/9/13,124.8
29/9/13,125.2
30/9/13,123.1
1/10/13,125.5
2/10/13,99.8
3/10/13,116.8
4/10/13,121.3
5/10/13,121.1
6/10/13,121.7
7/10/13,123.2
8/10/13,124.3
9/10/13,125.8
10/10/13,125.7
11/10/13,125.5
12/10/13,126.5
13/10/13,130.4
14/10/13,133
15/10/13,138.6
16/10/13,137.4
17/10/13,142.7
18/10/13,149.6
19/10/13,159.8
20/10/13,163.1
21/10/13,174.2
22/10/13,183.9
23/10/13,200.6
24/10/13,183.1
25/10/13,178.1
26/10/13,175.9
27/10/13,185.7
28/10/13,187.9
29/10/13,198.2
30/10/13,194.6
31/10/13,198.2
1/11/13,198.5
2/11/13,200.9
3/11/13,207.6
4/11/13,225.2
5/11/13,239.3
6/11/13,253.7
7/11/13,283.3
8/11/13,323.8
9/11/13,336.1
10/11/13,311.9
11/11/13,338.6
12/11/13,350.2
13/11/13,387.7
14/11/13,418
15/11/13,400
16/11/13,435.3
17/11/13,473.3
18/11/13,585.2
19/11/13,599
20/11/13,550
21/11/13,700
22/11/13,760
23/11/13,842.2
24/11/13,813.7
25/11/13,782.8
26/11/13,849.6
27/11/13,948
28/11/13,1010
29/11/13,1107.5
30/11/13,1112.4
1/12/13,955
2/12/13,998.1
3/12/13,1048
4/12/13,1145
5/12/13,1030.6
6/12/13,872.6
7/12/13,800.6
8/12/13,730
9/12/13,935.8
10/12/13,1023
11/12/13,921.8
12/12/13,900.5
13/12/13,912.6
14/12/13,897.9
15/12/13,864.9
16/12/13,704.8
17/12/13,731.9
18/12/13,551.4
19/12/13,702
20/12/13,599
21/12/13,607.7
22/12/13,622.1
23/12/13,640.4
24/12/13,647.3
26/12/13,740
27/12/13,718.9
28/12/13,701
29/12/13,714.3
30/12/13,737.2
31/12/13,727.7
1/1/14,740.3
2/1/14,775
3/1/14,812.1
4/1/14,801.8
5/1/14,904
6/1/14,934.5
7/1/14,791
8/1/14,828.5
9/1/14,850
10/1/14,834.7
11/1/14,896.9
12/1/14,888.1
13/1/14,818.4
14/1/14,826.9
15/1/14,839.7
16/1/14,824
17/1/14,789
18/1/14,800
19/1/14,830
20/1/14,823.4
21/1/14,810
22/1/14,807
23/1/14,816.2
24/1/14,781.9
25/1/14,810
26/1/14,809.7
27/1/14,760.3
28/1/14,795
29/1/14,800
30/1/14,803.9
31/1/14,800
1/2/14,814.6
3/2/14,810
4/2/14,813
5/2/14,791
6/2/14,771.6
7/2/14,720
8/2/14,690
9/2/14,710
10/2/14,706.3
11/2/14,658.9
12/2/14,685
13/2/14,634.3
14/2/14,682
15/2/14,653.4
16/2/14,608
17/2/14,663.8
18/2/14,628
19/2/14,630.4
20/2/14,578.9
21/2/14,568
22/2/14,595.2
23/2/14,619
24/2/14,562.4
25/2/14,515
26/2/14,582
27/2/14,579
28/2/14,565
1/3/14,568.2
2/3/14,560.6
3/3/14,658
4/3/14,668
5/3/14,675
6/3/14,663
7/3/14,621
8/3/14,614.1
9/3/14,621
10/3/14,615
11/3/14,615
12/3/14,650
13/3/14,642
14/3/14,630
15/3/14,641.6
16/3/14,635
17/3/14,624.3
18/3/14,618.4
19/3/14,611
20/3/14,583.5
21/3/14,568.8
22/3/14,560
23/3/14,566.2
24/3/14,590
25/3/14,582
26/3/14,595
27/3/14,498.5
28/3/14,497.4
29/3/14,491.9
30/3/14,464.1
31/3/14,452
1/4/14,482.8
2/4/14,443.3
3/4/14,448.8
4/4/14,450
5/4/14,460.8
6/4/14,453.7
7/4/14,454.2
8/4/14,448.8
9/4/14,442.5
10/4/14,370
11/4/14,416.3
12/4/14,415
13/4/14,404.2
14/4/14,459
15/4/14,515
16/4/14,522.3
17/4/14,500.7
18/4/14,490.5
19/4/14,505
20/4/14,512.5
21/4/14,497
22/4/14,488
23/4/14,490.2
24/4/14,497.5
25/4/14,460
26/4/14,459
27/4/14,441.5
28/4/14,448
29/4/14,434
30/4/14,448.3
1/5/14,459
2/5/14,453.5
3/5/14,440.5
4/5/14,430.9
5/5/14,427
6/5/14,430
7/5/14,438
8/5/14,442.8
9/5/14,446
10/5/14,451.1
11/5/14,432
12/5/14,440
13/5/14,437.3
14/5/14,444
15/5/14,442
16/5/14,442.3
17/5/14,442
18/5/14,438.8
19/5/14,439
20/5/14,476
21/5/14,477.6
22/5/14,502.3
23/5/14,509.5
24/5/14,502.3
25/5/14,566.2
26/5/14,575
27/5/14,570
28/5/14,577
29/5/14,573
30/5/14,629
31/5/14,635.6
1/6/14,646.5
2/6/14,669.5
3/6/14,682.9
4/6/14,652.3
5/6/14,663.3
6/6/14,655
7/6/14,663
8/6/14,662.3
9/6/14,653.7
10/6/14,653.6
11/6/14,637.1
12/6/14,590
13/6/14,582.6
14/6/14,554.4
15/6/14,571
16/6/14,580
17/6/14,614.3
18/6/14,611.5
19/6/14,602
20/6/14,601
21/6/14,601.6
22/6/14,607.8
23/6/14,599.3
24/6/14,587.3
25/6/14,568.1
26/6/14,577.9
27/6/14,606.2
28/6/14,600.1
29/6/14,603.7
30/6/14,640
1/7/14,650.8
2/7/14,647.9
3/7/14,643.6
4/7/14,632.2
5/7/14,630
6/7/14,633.3
7/7/14,624
8/7/14,618.5
9/7/14,620.2
10/7/14,610
11/7/14,625.5
12/7/14,626
13/7/14,624
14/7/14,622.4
15/7/14,620.9
16/7/14,621
